A,B,C,D,E,F,G,H,I,J,K,L,M,N,Z
42,"0,615213338437606",1,15,0,4,1,1,"0,28","0,2727","0,36",0,8,54,62
42,"0,0921421765530199",1,16,0,4,1,1,"0,26","0,2576","0,38","0,1642",12,74,86
42,"0,12959361036785",1,17,0,4,1,1,"0,22","0,2273","0,51","0,1642",9,163,172
42,"0,320879754207695",1,18,0,4,1,1,"0,22","0,2273","0,51","0,1343",5,158,163
42,"0,946338670955551",1,19,0,4,1,1,"0,22","0,2576","0,55","0,0896",3,109,112
42,"0,808394276316117",1,20,0,4,1,1,"0,2","0,2121","0,51","0,1642",3,66,69
42,"0,00296161222869694",1,21,0,4,1,2,"0,22","0,2121","0,55","0,2239",0,48,48
42,"0,643872167727745",1,22,0,4,1,2,"0,22","0,2121","0,51","0,2836",1,51,52
42,"0,674888177664705",1,23,0,4,1,2,"0,2","0,197","0,59","0,194",4,19,23
42,"0,737998116188259",1,0,0,5,1,2,"0,2","0,197","0,64","0,194",4,13,17
42,"0,531651641726441",1,1,0,5,1,2,"0,2","0,197","0,69","0,2239",2,5,7
42,"0,139689298202879",1,2,0,5,1,2,"0,2","0,197","0,69","0,2239",0,1,1
42,"0,460057003140675",1,4,0,5,1,2,"0,2","0,2121","0,69","0,1343",0,1,1
42,"0,871595799143734",1,5,0,5,1,3,"0,22","0,2727","0,55",0,0,5,5
42,"0,16660488883229",1,6,0,5,1,2,"0,2","0,2576","0,69",0,8,26,34
42,"0,885641351052687",1,7,0,5,1,1,"0,2","0,2121","0,69","0,1343",8,76,84
42,"0,992030360984146",1,8,0,5,1,1,"0,2","0,197","0,51","0,2537",20,190,210
42,"0,659047964047001",1,9,0,5,1,1,"0,2","0,1818","0,47","0,2985",9,125,134
42,"0,79933939861362",1,10,0,5,1,1,"0,22","0,197","0,37","0,3284",16,47,63
42,"0,997029768187586",1,11,0,5,1,2,"0,2","0,197","0,4","0,2239",19,48,67
42,"0,60322929085454",1,12,0,5,1,2,"0,2","0,197","0,37","0,2537",9,50,59
42,"0,551073377419352",1,13,0,5,1,2,"0,2","0,1818","0,37","0,2836",9,64,73
42,"0,180657183704538",1,14,0,5,1,2,"0,2","0,197","0,4","0,2537",7,43,50
42,"0,707912020283033",1,15,0,5,1,2,"0,2","0,2121","0,37","0,1642",9,63,72
42,"0,308530563231909",1,16,0,5,1,2,"0,2","0,2121","0,37","0,1642",5,82,87
42,"0,0114789482987538",1,17,0,5,1,2,"0,2","0,2576","0,37",0,9,178,187
42,"0,178309726339379",1,18,0,5,1,1,"0,2","0,2273","0,4","0,0896",7,116,123
42,"0,913023873662858",1,19,0,5,1,1,"0,16","0,197","0,55","0,0896",3,92,95
42,"0,942940169865094",1,20,0,5,1,1,"0,18","0,2121","0,47","0,1045",1,50,51
42,"0,33820938594722",1,21,0,5,1,1,"0,18","0,197","0,47","0,1343",0,39,39
42,"0,530277311965166",1,22,0,5,1,2,"0,18","0,197","0,43","0,1642",2,34,36
42,"0,972966521011627",1,23,0,5,1,2,"0,18","0,197","0,51","0,1642",1,14,15
42,"0,349421671295325",1,0,0,6,0,2,"0,18","0,197","0,51","0,1642",1,24,25
42,"0,652091894077258",1,1,0,6,0,2,"0,18","0,2121","0,55","0,0896",1,15,16
42,"0,865687598958126",1,2,0,6,0,2,"0,18","0,2424","0,55",0,3,13,16
42,"0,890771703589344",1,3,0,6,0,3,"0,18","0,197","0,55","0,1642",0,7,7
42,"0,00734000424198792",1,4,0,6,0,3,"0,18","0,197","0,55","0,1642",0,1,1
42,"0,947842929544634",1,5,0,6,0,2,"0,16","0,1667","0,74","0,1642",0,5,5
42,"0,417049619297389",1,6,0,6,0,2,"0,16","0,1667","0,74","0,1642",0,2,2
42,"0,748664530731416",1,7,0,6,0,2,"0,16","0,1818","0,74","0,1045",1,8,9
42,"0,581302677304544",1,8,0,6,0,3,"0,16","0,1818","0,93","0,1045",0,15,15
42,"0,822325352601368",1,9,0,6,0,3,"0,16","0,1818","0,93","0,1045",0,20,20
42,"0,76294681315505",1,10,0,6,0,2,"0,18","0,197","0,8","0,1642",5,56,61
42,"0,768835061112963",1,11,0,6,0,2,"0,2","0,1818","0,69","0,3881",2,60,62
42,"0,996401806879697",1,12,0,6,0,2,"0,2","0,1818","0,59","0,3582",8,90,98
42,"0,0756373015567758",1,13,0,6,0,1,"0,2","0,1818","0,44","0,3284",7,95,102
42,"0,592008312243467",1,14,0,6,0,1,"0,2","0,1667","0,32","0,4925",12,83,95
42,"0,427376095779193",1,15,0,6,0,1,"0,2","0,1667","0,32","0,4478",5,69,74
42,"0,690605472655275",1,16,0,6,0,1,"0,18","0,1364","0,29","0,4478",8,68,76
42,"0,987918673004064",1,17,0,6,0,1,"0,16","0,1212","0,37","0,5522",5,64,69
42,"0,293949056491709",1,18,0,6,0,1,"0,14","0,1212","0,39","0,2985",3,52,55
42,"0,312892730946472",1,19,0,6,0,1,"0,14","0,1212","0,36","0,2537",4,26,30
42,"0,216522623106998",1,20,0,6,0,1,"0,12","0,1212","0,36","0,2537",0,28,28
42,"0,349029752311993",1,21,0,6,0,1,"0,12","0,1061","0,39","0,3582",2,35,37
42,"0,19397484064716",1,22,0,6,0,1,"0,12","0,1061","0,36","0,3881",1,33,34
42,"0,648431467999237",1,23,0,6,0,1,"0,1","0,0606","0,39","0,4478",0,22,22
42,"0,209203493640085",1,0,0,0,0,1,"0,1","0,0758","0,42","0,3881",1,24,25
42,"0,150155937251523",1,1,0,0,0,1,"0,1","0,0606","0,42","0,4627",0,12,12
42,"0,356046301562614",1,2,0,0,0,1,"0,1","0,0606","0,46","0,4627",0,11,11
42,"0,740187760285079",1,3,0,0,0,1,"0,1","0,0758","0,46","0,4179",0,4,4
42,"0,101334827347556",1,4,0,0,0,1,"0,08","0,0909","0,53","0,194",0,1,1
42,"0,406350230478283",1,5,0,0,0,1,"0,08","0,0909","0,53","0,194",0,1,1
42,"0,5797695777257",1,6,0,0,0,1,"0,1","0,0909","0,49","0,2836",0,1,1
42,"0,187480192749425",1,7,0,0,0,1,"0,08","0,0909","0,53","0,194",1,5,6
42,"0,844813871787141",1,8,0,0,0,1,"0,1","0,0909","0,49","0,2836",0,10,10
42,"0,346389380893579",1,9,0,0,0,1,"0,12","0,0758","0,46","0,5224",0,19,19
42,"0,693434859439056",1,10,0,0,0,1,"0,14","0,1061","0,43","0,3881",0,49,49
42,"0,722670083610829",1,11,0,0,0,1,"0,16","0,1212","0,4","0,5224",2,47,49
42,"0,841575325476359",1,12,0,0,0,1,"0,18","0,1364","0,37","0,4478",4,79,83
42,"0,00324611064781629",1,13,0,0,0,1,"0,2","0,1667","0,34","0,4478",6,69,75
42,"0,253420994898222",1,14,0,0,0,1,"0,22","0,1818","0,32","0,4627",8,64,72
42,"0,597947167015487",1,15,0,0,0,1,"0,22","0,197","0,35","0,3582",5,77,82
42,"0,466368889108743",1,16,0,0,0,1,"0,2","0,1667","0,34","0,4478",13,79,92
42,"0,27750954008674",1,17,0,0,0,1,"0,18","0,1515","0,37","0,3881",3,59,62
42,"0,0134840898171115",1,18,0,0,0,1,"0,16","0,1364","0,4","0,3284",4,44,48
42,"0,758310720810693",1,19,0,0,0,1,"0,16","0,1364","0,43","0,3284",1,40,41
42,"0,410555300628847",1,20,0,0,0,1,"0,14","0,1212","0,46","0,2537",0,38,38
42,"0,135663598954204",1,21,0,0,0,1,"0,14","0,1061","0,46","0,4179",1,19,20
42,"0,807848330917837",1,22,0,0,0,1,"0,14","0,1212","0,46","0,2985",5,10,15
42,"0,232023054157896",1,23,0,0,0,1,"0,12","0,1364","0,5","0,194",0,6,6
42,"0,271504146646848",1,0,0,1,1,1,"0,12","0,1212","0,5","0,2836",2,3,5
42,"0,589873073510772",1,1,0,1,1,1,"0,12","0,1212","0,5","0,2836",1,0,1
42,"0,0113201676304272",1,2,0,1,1,1,"0,12","0,1212","0,5","0,2239",0,3,3
42,"0,268691544202107",1,3,0,1,1,1,"0,12","0,1212","0,5","0,2239",0,1,1
42,"0,149201420417564",1,4,0,1,1,1,"0,1","0,1212","0,54","0,1343",1,2,3
42,"0,636114466595826",1,5,0,1,1,1,"0,1","0,1061","0,54","0,2537",0,3,3
42,"0,579904228478676",1,6,0,1,1,1,"0,12","0,1212","0,5","0,2836",0,31,31
42,"0,661524411402354",1,7,0,1,1,1,"0,12","0,1212","0,5","0,2239",2,75,77
42,"0,0168943001112808",1,8,0,1,1,2,"0,12","0,1212","0,5","0,2836",4,184,188
42,"0,742232104425942",1,9,0,1,1,2,"0,14","0,1212","0,5","0,2537",2,92,94
42,"0,075391774870551",1,10,0,1,1,2,"0,14","0,1212","0,5","0,2985",0,31,31
42,"0,0390948473484521",1,11,0,1,1,2,"0,16","0,1364","0,47","0,2836",2,28,30
42,"0,262830918057173",1,12,0,1,1,2,"0,2","0,1818","0,4","0,2836",5,47,52
42,"0,730731405548623",1,13,0,1,1,2,"0,2","0,1818","0,4","0,2836",4,50,54
42,"0,286000676408138",1,14,0,1,1,2,"0,2","0,197","0,4","0,2239",0,47,47
42,"0,189092372535841",1,15,0,1,1,2,"0,2","0,197","0,4","0,2239",2,43,45
42,"0,34548727647844",1,16,0,1,1,1,"0,2","0,2121","0,4","0,1343",4,70,74
42,"0,401298028848855",1,17,0,1,1,1,"0,2","0,2273","0,4","0,1045",4,174,178
42,"0,355285099750935",1,18,0,1,1,1,"0,2","0,197","0,4","0,2239",1,154,155
42,"0,787384308091553",1,19,0,1,1,1,"0,16","0,1667","0,47","0,1642",3,92,95
42,"0,12545336524044",1,20,0,1,1,1,"0,16","0,1667","0,5","0,1642",1,73,74
42,"0,479042336973576",1,21,0,1,1,1,"0,14","0,1364","0,59","0,194",1,37,38
42,"0,623294781473786",1,22,0,1,1,1,"0,14","0,1515","0,59","0,1642",2,22,24
42,"0,794702679566982",1,23,0,1,1,1,"0,14","0,1515","0,59","0,1642",0,18,18
42,"0,578062318638697",1,0,0,2,1,1,"0,14","0,1667","0,59","0,1045",2,10,12
42,"0,0985576686911138",1,1,0,2,1,1,"0,14","0,1515","0,59","0,1642",0,3,3
42,"0,733109076639911",1,2,0,2,1,2,"0,16","0,1515","0,55","0,194",0,3,3
42,"0,186068159923632",1,5,0,2,1,2,"0,16","0,1818","0,55","0,1343",0,6,6
42,"0,975716881986462",1,6,0,2,1,2,"0,16","0,1818","0,55","0,1343",0,27,27
42,"0,823325651486095",1,7,0,2,1,2,"0,16","0,2273","0,55",0,2,97,99
42,"0,524175463810483",1,8,0,2,1,2,"0,18","0,2121","0,51","0,0896",3,214,217
42,"0,0441152865415742",1,9,0,2,1,2,"0,18","0,197","0,51","0,1642",3,127,130
42,"0,924021611212492",1,10,0,2,1,2,"0,2","0,2121","0,51","0,1642",3,51,54
42,"0,103667387512606",1,11,0,2,1,2,"0,2","0,2121","0,47","0,1343",4,31,35
42,"0,731297756901216",1,12,0,2,1,2,"0,2","0,2273","0,51","0,1045",2,55,57
42,"0,196448961920057",1,13,0,2,1,2,"0,2","0,2273","0,59","0,0896",6,46,52
42,"0,0357311695052094",1,14,0,2,1,2,"0,2","0,2273","0,59","0,0896",3,60,63
42,"0,784903783100189",1,15,0,2,1,2,"0,16","0,197","0,8","0,0896",2,45,47
42,"0,425667081545149",1,16,0,2,1,2,"0,16","0,1515","0,86","0,2239",4,72,76
42,"0,425402841279423",1,17,0,2,1,2,"0,16","0,1515","0,86","0,2239",6,130,136
42,"0,714676187881388",1,18,0,2,1,3,"0,16","0,1818","0,93","0,1045",1,94,95
42,"0,973741829944742",1,19,0,2,1,3,"0,16","0,2273","0,93",0,0,51,51
42,"0,91351554569005",1,20,0,2,1,3,"0,16","0,1515","0,93","0,194",0,32,32
42,"0,753489602242569",1,21,0,2,1,3,"0,16","0,197","0,86","0,0896",0,20,20
42,"0,639506184833837",1,22,0,2,1,3,"0,16","0,1818","0,93","0,1045",1,28,29
42,"0,626963909350021",1,23,0,2,1,3,"0,16","0,197","0,93","0,0896",1,18,19
42,"0,448994197643945",1,0,0,3,1,2,"0,16","0,197","0,86","0,0896",0,7,7
42,"0,0293274086083811",1,1,0,3,1,2,"0,16","0,1818","0,86","0,1045",0,6,6
42,"0,736626061972703",1,2,0,3,1,1,"0,14","0,1515","0,86","0,1343",0,1,1
42,"0,757814285154167",1,5,0,3,1,1,"0,14","0,1515","0,86","0,1642",0,5,5
42,"0,0347792507509308",1,6,0,3,1,1,"0,12","0,1515","0,93","0,1343",0,16,16
42,"0,0668813582897711",1,7,0,3,1,1,"0,14","0,1515","0,69","0,1343",0,54,54
42,"0,193651684268662",1,8,0,3,1,1,"0,16","0,1667","0,59","0,1642",3,125,128
42,"0,309109603591275",1,9,0,3,1,1,"0,16","0,1364","0,59","0,3284",3,78,81
42,"0,862691109838228",1,10,0,3,1,1,"0,18","0,1818","0,55","0,2239",0,39,39
42,"0,960606823724473",1,11,0,3,1,1,"0,2","0,1818","0,51","0,3881",3,32,35
42,"0,251565532112699",1,12,0,3,1,1,"0,2","0,1515","0,47","0,5821",3,52,55
42,"0,142253730131135",1,13,0,3,1,1,"0,22","0,197","0,44","0,3582",0,49,49
42,"0,605336162080276",1,14,0,3,1,1,"0,2","0,1818","0,47","0,3284",0,44,44
42,"0,551626551914513",1,15,0,3,1,1,"0,2","0,1667","0,47","0,4179",1,48,49
42,"0,297962710741319",1,16,0,3,1,1,"0,22","0,197","0,44","0,3284",5,63,68
42,"0,836534573173359",1,17,0,3,1,1,"0,2","0,1818","0,47","0,3582",0,139,139
42,"0,648533312079959",1,18,0,3,1,1,"0,2","0,1515","0,47","0,5224",2,135,137
42,"0,708967652476054",1,19,0,3,1,1,"0,18","0,1515","0,47","0,4179",1,82,83
42,"0,741924621934783",1,20,0,3,1,1,"0,16","0,1364","0,5","0,3284",2,54,56
42,"0,109275920888687",1,21,0,3,1,1,"0,16","0,1364","0,55","0,3284",0,57,57
42,"0,153339478404571",1,22,0,3,1,1,"0,16","0,1212","0,55","0,4478",1,32,33
42,"0,894425508993073",1,23,0,3,1,1,"0,14","0,1061","0,59","0,4179",1,19,20
42,"0,613078447569987",1,0,0,4,1,1,"0,14","0,1212","0,59","0,2836",1,6,7
42,"0,83341791960385",1,1,0,4,1,1,"0,14","0,1212","0,5","0,2836",0,2,2
42,"0,662292762987893",1,2,0,4,1,1,"0,14","0,1212","0,5","0,3582",0,2,2
42,"0,249465198075967",1,3,0,4,1,1,"0,14","0,1212","0,5","0,3284",0,3,3
42,"0,490857776040934",1,4,0,4,1,1,"0,14","0,1212","0,5","0,2537",0,4,4
42,"0,190766826203716",1,5,0,4,1,1,"0,14","0,1212","0,5","0,2985",0,3,3
42,"0,7937158359714",1,6,0,4,1,1,"0,12","0,1515","0,54","0,1343",0,28,28
42,"0,334932048144231",1,7,0,4,1,1,"0,12","0,1515","0,54","0,1343",0,72,72
42,"0,979210765309648",1,8,0,4,1,1,"0,14","0,1364","0,5","0,194",5,197,202
42,"0,894786827183187",1,9,0,4,1,1,"0,14","0,1212","0,5","0,3284",2,137,139
42,"0,0605795146820334",1,10,0,4,1,2,"0,16","0,1364","0,5","0,3582",2,36,38
42,"0,0946146222362983",1,11,0,4,1,2,"0,2","0,1667","0,44","0,4478",4,33,37
42,"0,722464194170264",1,12,0,4,1,1,"0,2","0,1667","0,44","0,4179",3,49,52
42,"0,72760610315448",1,13,0,4,1,1,"0,22","0,197","0,41","0,4478",2,81,83
42,"0,694656796779462",1,14,0,4,1,1,"0,22","0,197","0,41","0,3881",3,39,42
